374,27351731,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.                              "
278,27652684,Genial Investimentos Corretora de Valores Mobiliários S.A.
271,27842177,"IB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.                      "
21,28127603,BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO
246,28195667,Banco ABC Brasil S.A.
292,28650236,BS2 Distribuidora de Títulos e Valores Mobiliários S.A.
n/a,28719664,Sistema do Balcão B3
n/a,29011780,Câmara Interbancária de Pagamentos - CIP C3
751,29030467,Scotiabank Brasil S.A. Banco Múltiplo
352,29162769,TORO CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
208,30306294,Banco BTG Pactual S.A.
386,30680829,"NU FINANCEIRA S.A. - Sociedade de Crédito, Financiamento e Investimento         "
746,30723886,Banco Modal S.A.
241,31597552,BANCO CLASSICO S.A.
398,31749596,IDEAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
336,31872495,Banco C6 S.A.
612,31880826,Banco Guanabara S.A.
604,31895683,Banco Industrial do Brasil S.A.
505,32062580,Banco Credit Suisse (Brasil) S.A.
329,32402502,QI Sociedade de Crédito Direto S.A.
196,32648370,FAIR CORRETORA DE CAMBIO S.A.
342,32997490,Creditas Sociedade de Crédito Direto S.A.
300,33042151,Banco de la Nacion Argentina
477,33042953,Citibank N.A.
266,33132044,BANCO CEDULA S.A.
122,33147315,Banco Bradesco BERJ S.A.
376,33172537,BANCO J.P. MORGAN S.A.
348,33264668,Banco XP S.A.
473,33466988,Banco Caixa Geral - Brasil S.A.
745,33479023,Banco Citibank S.A.
120,33603457,BANCO RODOBENS S.A.
265,33644196,Banco Fator S.A.
7,33657248,BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL
188,33775974,"ATIVA INVESTIMENTOS S.A. CORRETORA DE TÍTULOS, CÂMBIO E VALORES                 "
134,33862244,BGC LIQUIDEZ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
29,33885724,Banco Itaú Consignado S.A.
243,33923798,BANCO MASTER S/A
397,34088029,LISTO SOCIEDADE DE CREDITO DIRETO S.A.
78,34111187,Haitong Banco de Investimento do Brasil S.A.
355,34335592,ÓTIMO SOCIEDADE DE CRÉDITO DIRETO S.A.
367,34711571,VITREO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
445,35551187,"PLANTAE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO                            "
373,35977097,UP.P SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.
111,36113876,OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIARIOS S.A.
408,36586946,BONUSPAGO SOCIEDADE DE CRÉDITO DIRETO S.A.
402,36947229,COBUCCIO SOCIEDADE DE CRÉDITO DIRETO S.A.
404,37241230,SUMUP SOCIEDADE DE CRÉDITO DIRETO S.A.
418,37414009,ZIPDIN SOLUÇÕES DIGITAIS SOCIEDADE DE CRÉDITO DIRETO S/A
414,37526080,WORK SOCIEDADE DE CRÉDITO DIRETO S.A.
449,37555231,DMCARD SOCIEDADE DE CRÉDITO DIRETO S.A.
406,37715993,ACCREDITO - SOCIEDADE DE CRÉDITO DIRETO S.A.
403,37880206,CORA SOCIEDADE DE CRÉDITO DIRETO S.A.
419,38129006,NUMBRS SOCIEDADE DE CRÉDITO DIRETO S.A.
435,38224857,DELCRED SOCIEDADE DE CRÉDITO DIRETO S.A.
421,39343350,LAR COOPERATIVA DE CRÉDITO - LAR CREDI
457,39587424,UY3 SOCIEDADE DE CRÉDITO DIRETO S/A
428,39664698,CRED-SYSTEM SOCIEDADE DE CRÉDITO DIRETO S.A.
448,39669186,HEMERA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
452,39676772,CREDIFIT SOCIEDADE DE CRÉDITO DIRETO S.A.
462,39908427,STARK SOCIEDADE DE CRÉDITO DIRETO S.A.
306,40303299,PORTOPAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
444,40654622,TRINUS SOCIEDADE DE CRÉDITO DIRETO S.A.
17,42272526,BNY Mellon Banco S.A.
174,43180355,"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO                             "
433,44077014,BR-CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
495,44189447,Banco de La Provincia de Buenos Aires
125,45246410,BANCO GENIAL S.A.
488,46518205,"JPMorgan Chase Bank, National Association                                       "
65,48795256,Banco AndBank (Brasil) S.A.
492,49336860,ING Bank N.V.
145,50579044,LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.
250,50585090,BCV - BANCO DE CRÉDITO E VAREJO S.A.
354,52904364,NECTON INVESTIMENTOS  S.A. CORRETORA DE VALORES MOBILIÁRIOS E COMMODITIES
253,52937216,Bexs Corretora de Câmbio S/A
269,53518684,BANCO HSBC S.A.
213,54403563,Banco Arbi S.A.
n/a,54641030,Câmara B3
139,55230916,Intesa Sanpaolo Brasil S.A. - Banco Múltiplo
18,57839805,Banco Tricury S.A.
422,58160789,Banco Safra S.A.
630,58497702,BANCO LETSBANK S.A.
224,58616418,Banco Fibra S.A.
393,59109165,Banco Volkswagen S.A.
600,59118133,Banco Luso Brasileiro S.A.
390,59274605,BANCO GM S.A.
623,59285411,Banco Pan S.A.
655,59588111,Banco Votorantim S.A.
479,60394079,Banco ItauBank S.A.
456,60498557,Banco MUFG Brasil S.A.
464,60518222,Banco Sumitomo Mitsui Brasileiro S.A.
341,60701190,ITAÚ UNIBANCO S.A.
237,60746948,Banco Bradesco S.A.
381,60814191,BANCO MERCEDES-BENZ DO BRASIL S.A.
613,60850229,Omni Banco S.A.
652,60872504,Itaú Unibanco Holding S.A.
637,60889128,BANCO SOFISA S.A.
n/a,60934221,Câmara de Câmbio B3
653,61024352,BANCO VOITER S.A.
69,61033106,Banco Crefisa S.A.
370,61088183,Banco Mizuho do Brasil S.A.
249,61182408,Banco Investcred Unibanco S.A.
